YEAR,MONTH,sex,agegrp,total,disabilityType,percent
2011,1,Men,18 to 24,14844437.6971,Any difficulty,0.0421169009266103
2011,1,Men,65+,17258881.9973,Any difficulty,0.295539834416734
2011,2,Men,55 to 64,17632131.0063,Any difficulty,0.149494816029791
2011,2,Women,55 to 64,18980339.9971,Any difficulty,0.1483254020123
2011,2,Men,18 to 24,14876556.8737,Any difficulty,0.0397605848262983
2011,2,Women,25 to 54,63112116.9831,Any difficulty,0.0649032602787966
2011,2,Women,18 to 24,14436740.6349,Any difficulty,0.0312311226268091
2011,2,Men,25 to 54,61570605.0115,Any difficulty,0.0637523003837115
2011,2,Women,65+,22079111.9975,Any difficulty,0.323456228588751
2011,2,Men,65+,17281754.0019,Any difficulty,0.293543846396741
2011,3,Men,55 to 64,17682064.0037,Any difficulty,0.151533242269643
2011,3,Women,55 to 64,19035656.0045,Any difficulty,0.151297757194139
2011,3,Men,18 to 24,14929705.1298,Any difficulty,0.0381986801910561
2011,3,Women,25 to 54,63107800.0029,Any difficulty,0.0662341302486843
2011,3,Women,18 to 24,14558928.4744,Any difficulty,0.0303689408308754
2011,3,Men,25 to 54,61578367.9928,Any difficulty,0.067079933262976
2011,3,Women,65+,22097781.9975,Any difficulty,0.324520226532749
2011,3,Men,65+,17304887.9994,Any difficulty,0.297900611658321
2011,4,Men,55 to 64,17731739.0043,Any difficulty,0.154538133018735
2011,4,Women,55 to 64,19090680.9999,Any difficulty,0.156319255647068
2011,4,Men,18 to 24,15027731.5947,Any difficulty,0.0417172408256946
2011,4,Men,25 to 54,61585666.9879,Any difficulty,0.0655913542382135
2011,4,Women,25 to 54,63102950.0061,Any difficulty,0.0665052365348105
2011,4,Women,65+,22116027.0107,Any difficulty,0.324717907471605
2011,4,Men,65+,17327735.0026,Any difficulty,0.292943743168876
2011,4,Women,18 to 24,14559347.2884,Any difficulty,0.0281123902735739
2011,5,Men,55 to 64,17769928.9954,Any difficulty,0.15536930807741
2011,5,Women,55 to 64,19132089.9993,Any difficulty,0.156105982958959
2011,5,Men,18 to 24,15098220.8197,Any difficulty,0.0391556267628987
2011,5,Men,25 to 54,61602817.0118,Any difficulty,0.0661696667949324
2011,5,Women,25 to 54,63108494.9881,Any difficulty,0.0675874102544244
2011,5,Women,65+,22146546.9958,Any difficulty,0.324813069516626
2011,5,Men,65+,17361584.988,Any difficulty,0.289792453464215
2011,5,Women,18 to 24,14586245.1694,Any difficulty,0.0302900783285116
2011,6,Men,65+,17396098,Any difficulty,0.29207896649582
2011,6,Women,55 to 64,19174178.9917,Any difficulty,0.147702328267924
2011,6,Men,25 to 54,61622470.0107,Any difficulty,0.0649141176685293
2011,6,Women,25 to 54,63116384.0011,Any difficulty,0.0682141685814093
2011,6,Women,65+,22177895.996,Any difficulty,0.327369461242377
2011,6,Men,18 to 24,14982512.5372,Any difficulty,0.0402457709548287
2011,6,Men,55 to 64,17808796.9991,Any difficulty,0.15768926156786
2011,6,Women,18 to 24,14681107.6552,Any difficulty,0.0295728327110401
2011,7,Men,65+,17431073.9891,Any difficulty,0.29024474160133
2011,7,Women,55 to 64,19216747.0034,Any difficulty,0.150093999472943
2011,7,Men,25 to 54,61643390.9994,Any difficulty,0.0626934068558561
2011,7,Women,25 to 54,63125527.0094,Any difficulty,0.0646604646024134
2011,7,Women,65+,22209863.0072,Any difficulty,0.327256539959015
2011,7,Men,18 to 24,15102310.1967,Any difficulty,0.0396952128708755
2011,7,Men,55 to 64,17848109.0012,Any difficulty,0.154914468956577
2011,7,Women,18 to 24,14699581.6034,Any difficulty,0.0285977912529679
2011,8,Women,25 to 54,63115910.0163,Any difficulty,0.0658274542302727
2011,8,Men,65+,17497495.0022,Any difficulty,0.288057223983563
2011,8,Women,55 to 64,19253601.9985,Any difficulty,0.146384971161218
2011,8,Men,25 to 54,61647988.004,Any difficulty,0.0648562255371672
2011,8,Women,65+,22275604.992,Any difficulty,0.324861770016971
2011,8,Men,18 to 24,15137578.4465,Any difficulty,0.0383074195023627
2011,8,Men,55 to 64,17881447.9972,Any difficulty,0.153915480437097
2011,8,Women,18 to 24,14678027.3629,Any difficulty,0.030571260551959
2011,9,Men,65+,17563850.9971,Any difficulty,0.291299768384779
2011,9,Women,55 to 64,19290388.9992,Any difficulty,0.145311866391924
2011,9,Men,25 to 54,61652279.0081,Any difficulty,0.0643916011584653
2011,9,Women,25 to 54,63106034.9641,Any difficulty,0.0635615490258873
2011,9,Women,65+,22341265.9975,Any difficulty,0.326074500993596
2011,9,Men,18 to 24,14958498.968,Any difficulty,0.0365801358191463
2011,9,Men,55 to 64,17914708.9994,Any difficulty,0.154304157421289
2011,9,Women,18 to 24,14539630.8267,Any difficulty,0.0286736877482757
2011,10,Women,25 to 54,63095839.9887,Any difficulty,0.0627051340422533
2011,10,Men,25 to 54,61656196.0054,Any difficulty,0.0648229073514356
2011,10,Men,65+,17630148.9961,Any difficulty,0.288258246780796
2011,10,Women,55 to 64,19327120.0036,Any difficulty,0.149567975164513
2011,10,Women,65+,22406882.9915,Any difficulty,0.317427228490376
2011,10,Men,55 to 64,17947907.9814,Any difficulty,0.15550902566987
2011,10,Women,18 to 24,14489785.456,Any difficulty,0.028297586609898
2011,10,Men,18 to 24,14969665.7225,Any difficulty,0.036311372309603
2011,11,Women,25 to 54,63085084.9981,Any difficulty,0.0623265716788433
2011,11,Men,25 to 54,61658406.9775,Any difficulty,0.0631147496240064
2011,11,Men,65+,17703777.004,Any difficulty,0.291749445123094
2011,11,Women,55 to 64,19343839.0095,Any difficulty,0.14530281112863
2011,11,Women,65+,22481286.9883,Any difficulty,0.320232149860758
2011,11,Men,55 to 64,17962466.9987,Any difficulty,0.160312136791032
2011,11,Women,18 to 24,14471275.318,Any difficulty,0.0295099844565061
2011,11,Men,18 to 24,15018702.8176,Any difficulty,0.0383095821848044
2011,12,Men,25 to 54,61653166.9948,Any difficulty,0.0621644593022003
2011,12,Women,25 to 54,63067395.9853,Any difficulty,0.0628458107739827
2011,12,Men,65+,17775489.9946,Any difficulty,0.289357020023781
2011,12,Women,18 to 24,14564436.2204,Any difficulty,0.0327942915861718
2011,12,Women,55 to 64,19358599.0036,Any difficulty,0.145890496996957
2011,12,Women,65+,22553360.0121,Any difficulty,0.318931823215739
2011,12,Men,18 to 24,15069610.0677,Any difficulty,0.0379759455572525
2011,12,Men,55 to 64,17975073.9986,Any difficulty,0.16093584997343
2012,1,Men,25 to 54,60963997.0215,Any difficulty,0.0599230315724157
2012,1,Women,25 to 54,63427991.9901,Any difficulty,0.0651687589108161
2012,1,Women,18 to 24,14991165.0714,Any difficulty,0.0326396404461915
2012,1,Women,65+,23025891.0019,Any difficulty,0.314746178547531
2012,1,Men,18 to 24,14982781.1855,Any difficulty,0.0360857868179537
2012,1,Men,65+,18018124.0116,Any difficulty,0.28684614221617
2012,1,Women,55 to 64,19790386.9951,Any difficulty,0.147006334339007
2012,1,Men,55 to 64,18311002.9979,Any difficulty,0.162468516369157
2012,2,Women,55 to 64,19802075.0059,Any difficulty,0.14767745581858
2012,2,Men,55 to 64,18321453.0073,Any difficulty,0.158015032210955
2012,2,Women,25 to 54,63414170.0054,Any difficulty,0.0667434144661924
2012,2,Men,25 to 54,60960495.9843,Any difficulty,0.0622687678948285
2012,2,Women,18 to 24,14996172.7945,Any difficulty,0.0321659069557342
